elem# in inp 108
elem# in filter 27
Context for Device : 1
for 0 0 0, inp is 1 , filt is 1 
for 3 2 0, inp is 64 , filt is 1 
for 0 3 0, inp is 13 , filt is 1 
for 1 3 0, inp is 31 , filt is 1 
for 2 3 0, inp is 49 , filt is 1 
for 3 3 0, inp is 67 , filt is 1 
for 0 0 0, inp is 5 , filt is 0 
for 1 0 0, inp is 23 , filt is 0 
for 2 0 0, inp is 41 , filt is 0 
for 3 0 0, inp is 59 , filt is 0 
for 0 1 0, inp is 8 , filt is 0 
for 1 1 0, inp is 26 , filt is 0 
for 2 1 0, inp is 44 , filt is 0 
for 3 1 0, inp is 62 , filt is 0 
for 0 2 0, inp is 11 , filt is 0 
for 1 2 0, inp is 29 , filt is 0 
for 2 2 0, inp is 47 , filt is 0 
for 3 2 0, inp is 65 , filt is 0 
for 0 3 0, inp is 14 , filt is 0 
for 1 3 0, inp is 32 , filt is 0 
for 2 3 0, inp is 50 , filt is 0 
for 3 3 0, inp is 68 , filt is 0 
for 0 0 0, inp is 6 , filt is -1 
for 1 0 0, inp is 24 , filt is -1 
for 2 0 0, inp is 42 , filt is -1 
for 3 0 0, inp is 60 , filt is -1 
for 0 1 0, inp is 9 , filt is -1 
for 1 1 0, inp is 27 , filt is -1 
for 2 1 0, inp is 45 , filt is -1 
for 3 1 0, inp is 63 , filt is -1 
for 0 2 0, inp is 12 , filt is -1 
for 1 2 0, inp is 30 , filt is -1 
for 2 2 0, inp is 48 , filt is -1 
for 3 2 0, inp is 66 , filt is -1 
for 0 3 0, inp is 15 , filt is -1 
for 1 3 0, inp is 33 , filt is -1 
for 2 3 0, inp is 51 , filt is -1 
for 3 3 0, inp is 69 , filt is -1 
for 0 0 0, inp is 7 , filt is 1 
for 1 0 0, inp is 25 , filt is 1 
for 2 0 0, inp is 43 , filt is 1 
for 3 0 0, inp is 61 , filt is 1 
for 0 1 0, inp is 10 , filt is 1 
for 1 1 0, inp is 28 , filt is 1 
for 2 1 0, inp is 46 , filt is 1 
for 3 1 0, inp is 64 , filt is 1 
for 0 2 0, inp is 13 , filt is 1 
for 1 2 0, inp is 31 , filt is 1 
for 2 2 0, inp is 49 , filt is 1 
for 3 2 0, inp is 67 , filt is 1 
for 0 3 0, inp is 16 , filt is 1 
for 1 3 0, inp is 34 , filt is 1 
for 2 3 0, inp is 52 , filt is 1 
for 3 3 0, inp is 70 , filt is 1 
for 0 0 0, inp is 8 , filt is 0 
for 1 0 0, inp is 26 , filt is 0 
for 2 0 0, inp is 44 , filt is 0 
for 3 0 0, inp is 62 , filt is 0 
for 0 1 0, inp is 11 , filt is 0 
for 1 1 0, inp is 29 , filt is 0 
for 2 1 0, inp is 47 , filt is 0 
for 3 1 0, inp is 65 , filt is 0 
for 0 2 0, inp is 14 , filt is 0 
for 1 2 0, inp is 32 , filt is 0 
for 2 2 0, inp is 50 , filt is 0 
for 3 2 0, inp is 68 , filt is 0 
for 0 3 0, inp is 17 , filt is 0 
for 1 3 0, inp is 35 , filt is 0 
for 2 3 0, inp is 53 , filt is 0 
for 3 3 0, inp is 71 , filt is 0 
for 0 0 0, inp is 9 , filt is -1 
for 1 0 0, inp is 27 , filt is -1 
for 2 0 0, inp is 45 , filt is -1 
for 3 0 0, inp is 63 , filt is -1 
for 0 1 0, inp is 12 , filt is -1 
for 1 1 0, inp is 30 , filt is -1 
for 2 1 0, inp is 48 , filt is -1 
for 3 1 0, inp is 66 , filt is -1 
for 0 2 0, inp is 15 , filt is -1 
for 1 2 0, inp is 33 , filt is -1 
for 2 2 0, inp is 51 , filt is -1 
for 3 2 0, inp is 69 , filt is -1 
for 0 3 0, inp is 18 , filt is -1 
for 1 3 0, inp is 36 , filt is -1 
for 2 3 0, inp is 54 , filt is -1 
for 3 3 0, inp is 72 , filt is -1 
for 0 0 0, inp is 19 , filt is 0 
for 1 0 0, inp is 37 , filt is 0 
for 2 0 0, inp is 55 , filt is 0 
for 3 0 0, inp is 73 , filt is 0 
for 0 1 0, inp is 22 , filt is 0 
for 1 1 0, inp is 40 , filt is 0 
for 2 1 0, inp is 58 , filt is 0 
for 3 1 0, inp is 76 , filt is 0 
for 0 2 0, inp is 25 , filt is 0 
for 1 2 0, inp is 43 , filt is 0 
for 2 2 0, inp is 61 , filt is 0 
for 3 2 0, inp is 79 , filt is 0 
for 0 3 0, inp is 28 , filt is 0 
for 1 3 0, inp is 46 , filt is 0 
for 2 3 0, inp is 64 , filt is 0 
for 3 3 0, inp is 82 , filt is 0 
for 0 0 0, inp is 20 , filt is 0 
for 1 0 0, inp is 38 , filt is 0 
for 2 0 0, inp is 56 , filt is 0 
for 3 0 0, inp is 74 , filt is 0 
for 0 1 0, inp is 23 , filt is 0 
for 1 1 0, inp is 41 , filt is 0 
for 2 1 0, inp is 59 , filt is 0 
for 3 1 0, inp is 77 , filt is 0 
for 0 2 0, inp is 26 , filt is 0 
for 1 2 0, inp is 44 , filt is 0 
for 2 2 0, inp is 62 , filt is 0 
for 3 2 0, inp is 80 , filt is 0 
for 0 3 0, inp is 29 , filt is 0 
for 1 3 0, inp is 47 , filt is 0 
for 2 3 0, inp is 65 , filt is 0 
for 3 3 0, inp is 83 , filt is 0 
for 0 0 0, inp is 21 , filt is 0 
for 1 0 0, inp is 39 , filt is 0 
for 2 0 0, inp is 57 , filt is 0 
for 3 0 0, inp is 75 , filt is 0 
for 0 1 0, inp is 24 , filt is 0 
for 1 1 0, inp is 42 , filt is 0 
for 2 1 0, inp is 60 , filt is 0 
for 3 1 0, inp is 78 , filt is 0 
for 0 2 0, inp is 27 , filt is 0 
for 1 2 0, inp is 45 , filt is 0 
for 2 2 0, inp is 63 , filt is 0 
for 3 2 0, inp is 81 , filt is 0 
for 0 3 0, inp is 30 , filt is 0 
for 1 3 0, inp is 48 , filt is 0 
for 2 3 0, inp is 66 , filt is 0 
for 3 3 0, inp is 84 , filt is 0 
for 0 0 0, inp is 22 , filt is 0 
for 1 0 0, inp is 40 , filt is 0 
for 2 0 0, inp is 58 , filt is 0 
for 3 0 0, inp is 76 , filt is 0 
for 0 1 0, inp is 25 , filt is 0 
for 1 1 0, inp is 43 , filt is 0 
for 2 1 0, inp is 61 , filt is 0 
for 3 1 0, inp is 79 , filt is 0 
for 0 2 0, inp is 28 , filt is 0 
for 1 2 0, inp is 46 , filt is 0 
for 2 2 0, inp is 64 , filt is 0 
for 3 2 0, inp is 82 , filt is 0 
for 0 3 0, inp is 31 , filt is 0 
for 1 3 0, inp is 49 , filt is 0 
for 2 3 0, inp is 67 , filt is 0 
for 3 3 0, inp is 85 , filt is 0 
for 0 0 0, inp is 23 , filt is 0 
for 1 0 0, inp is 41 , filt is 0 
for 2 0 0, inp is 59 , filt is 0 
for 3 0 0, inp is 77 , filt is 0 
for 0 1 0, inp is 26 , filt is 0 
for 1 1 0, inp is 44 , filt is 0 
for 2 1 0, inp is 62 , filt is 0 
for 3 1 0, inp is 80 , filt is 0 
for 0 2 0, inp is 29 , filt is 0 
for 1 2 0, inp is 47 , filt is 0 
for 2 2 0, inp is 65 , filt is 0 
for 3 2 0, inp is 83 , filt is 0 
for 0 3 0, inp is 32 , filt is 0 
for 1 3 0, inp is 50 , filt is 0 
for 2 3 0, inp is 68 , filt is 0 
for 3 3 0, inp is 86 , filt is 0 
for 0 0 0, inp is 24 , filt is 0 
for 1 0 0, inp is 42 , filt is 0 
for 2 0 0, inp is 60 , filt is 0 
for 3 0 0, inp is 78 , filt is 0 
for 0 1 0, inp is 27 , filt is 0 
for 1 1 0, inp is 45 , filt is 0 
for 2 1 0, inp is 63 , filt is 0 
for 3 1 0, inp is 81 , filt is 0 
for 0 2 0, inp is 30 , filt is 0 
for 1 2 0, inp is 48 , filt is 0 
for 2 2 0, inp is 66 , filt is 0 
for 3 2 0, inp is 84 , filt is 0 
for 0 3 0, inp is 33 , filt is 0 
for 1 3 0, inp is 51 , filt is 0 
for 2 3 0, inp is 69 , filt is 0 
for 3 3 0, inp is 87 , filt is 0 
for 0 0 0, inp is 25 , filt is 0 
for 1 0 0, inp is 43 , filt is 0 
for 2 0 0, inp is 61 , filt is 0 
for 3 0 0, inp is 79 , filt is 0 
for 0 1 0, inp is 28 , filt is 0 
for 1 1 0, inp is 46 , filt is 0 
for 2 1 0, inp is 64 , filt is 0 
for 3 1 0, inp is 82 , filt is 0 
for 0 2 0, inp is 31 , filt is 0 
for 1 2 0, inp is 49 , filt is 0 
for 2 2 0, inp is 67 , filt is 0 
for 3 2 0, inp is 85 , filt is 0 
for 0 3 0, inp is 34 , filt is 0 
for 1 3 0, inp is 52 , filt is 0 
for 2 3 0, inp is 70 , filt is 0 
for 3 3 0, inp is 88 , filt is 0 
for 0 0 0, inp is 26 , filt is 0 
for 1 0 0, inp is 44 , filt is 0 
for 2 0 0, inp is 62 , filt is 0 
for 3 0 0, inp is 80 , filt is 0 
for 0 1 0, inp is 29 , filt is 0 
for 1 1 0, inp is 47 , filt is 0 
for 2 1 0, inp is 65 , filt is 0 
for 3 1 0, inp is 83 , filt is 0 
for 0 2 0, inp is 32 , filt is 0 
for 1 2 0, inp is 50 , filt is 0 
for 2 2 0, inp is 68 , filt is 0 
for 3 2 0, inp is 86 , filt is 0 
for 0 3 0, inp is 35 , filt is 0 
for 1 3 0, inp is 53 , filt is 0 
for 2 3 0, inp is 71 , filt is 0 
for 3 3 0, inp is 89 , filt is 0 
for 0 0 0, inp is 27 , filt is 0 
for 1 0 0, inp is 45 , filt is 0 
for 2 0 0, inp is 63 , filt is 0 
for 3 0 0, inp is 81 , filt is 0 
for 0 1 0, inp is 30 , filt is 0 
for 1 1 0, inp is 48 , filt is 0 
for 2 1 0, inp is 66 , filt is 0 
for 3 1 0, inp is 84 , filt is 0 
for 0 2 0, inp is 33 , filt is 0 
for 1 2 0, inp is 51 , filt is 0 
for 2 2 0, inp is 69 , filt is 0 
for 3 2 0, inp is 87 , filt is 0 
for 0 3 0, inp is 36 , filt is 0 
for 1 3 0, inp is 54 , filt is 0 
for 2 3 0, inp is 72 , filt is 0 
for 3 3 0, inp is 90 , filt is 0 
for 0 0 0, inp is 37 , filt is 0 
for 1 0 0, inp is 55 , filt is 0 
for 2 0 0, inp is 73 , filt is 0 
for 3 0 0, inp is 91 , filt is 0 
for 0 1 0, inp is 40 , filt is 0 
for 1 1 0, inp is 58 , filt is 0 
for 2 1 0, inp is 76 , filt is 0 
for 3 1 0, inp is 94 , filt is 0 
for 0 2 0, inp is 43 , filt is 0 
for 1 2 0, inp is 61 , filt is 0 
for 2 2 0, inp is 79 , filt is 0 
for 3 2 0, inp is 97 , filt is 0 
for 0 3 0, inp is 46 , filt is 0 
for 1 3 0, inp is 64 , filt is 0 
for 2 3 0, inp is 82 , filt is 0 
for 3 3 0, inp is 100 , filt is 0 
for 0 0 0, inp is 38 , filt is 0 
for 1 0 0, inp is 56 , filt is 0 
for 2 0 0, inp is 74 , filt is 0 
for 3 0 0, inp is 92 , filt is 0 
for 0 1 0, inp is 41 , filt is 0 
for 1 1 0, inp is 59 , filt is 0 
for 2 1 0, inp is 77 , filt is 0 
for 3 1 0, inp is 95 , filt is 0 
for 0 2 0, inp is 44 , filt is 0 
for 1 2 0, inp is 62 , filt is 0 
for 2 2 0, inp is 80 , filt is 0 
for 3 2 0, inp is 98 , filt is 0 
for 0 3 0, inp is 47 , filt is 0 
for 1 3 0, inp is 65 , filt is 0 
for 2 3 0, inp is 83 , filt is 0 
for 3 3 0, inp is 101 , filt is 0 
for 0 0 0, inp is 39 , filt is 0 
for 1 0 0, inp is 57 , filt is 0 
for 2 0 0, inp is 75 , filt is 0 
for 3 0 0, inp is 93 , filt is 0 
for 0 1 0, inp is 42 , filt is 0 
for 1 1 0, inp is 60 , filt is 0 
for 2 1 0, inp is 78 , filt is 0 
for 3 1 0, inp is 96 , filt is 0 
for 0 2 0, inp is 45 , filt is 0 
for 1 2 0, inp is 63 , filt is 0 
for 2 2 0, inp is 81 , filt is 0 
for 3 2 0, inp is 99 , filt is 0 
for 0 3 0, inp is 48 , filt is 0 
for 1 3 0, inp is 66 , filt is 0 
for 2 3 0, inp is 84 , filt is 0 
for 3 3 0, inp is 102 , filt is 0 
for 0 0 0, inp is 40 , filt is 0 
for 1 0 0, inp is 58 , filt is 0 
for 2 0 0, inp is 76 , filt is 0 
for 3 0 0, inp is 94 , filt is 0 
for 0 1 0, inp is 43 , filt is 0 
for 1 1 0, inp is 61 , filt is 0 
for 2 1 0, inp is 79 , filt is 0 
for 3 1 0, inp is 97 , filt is 0 
for 0 2 0, inp is 46 , filt is 0 
for 1 2 0, inp is 64 , filt is 0 
for 2 2 0, inp is 82 , filt is 0 
for 3 2 0, inp is 100 , filt is 0 
for 0 3 0, inp is 49 , filt is 0 
for 1 3 0, inp is 67 , filt is 0 
for 2 3 0, inp is 85 , filt is 0 
for 3 3 0, inp is 103 , filt is 0 
for 0 0 0, inp is 41 , filt is 0 
for 1 0 0, inp is 59 , filt is 0 
for 2 0 0, inp is 77 , filt is 0 
for 3 0 0, inp is 95 , filt is 0 
for 0 1 0, inp is 44 , filt is 0 
for 1 1 0, inp is 62 , filt is 0 
for 2 1 0, inp is 80 , filt is 0 
for 3 1 0, inp is 98 , filt is 0 
for 0 2 0, inp is 47 , filt is 0 
for 1 2 0, inp is 65 , filt is 0 
for 2 2 0, inp is 83 , filt is 0 
for 3 2 0, inp is 101 , filt is 0 
for 0 3 0, inp is 50 , filt is 0 
for 1 3 0, inp is 68 , filt is 0 
for 2 3 0, inp is 86 , filt is 0 
for 3 3 0, inp is 104 , filt is 0 
for 0 0 0, inp is 42 , filt is 0 
for 1 0 0, inp is 60 , filt is 0 
for 2 0 0, inp is 78 , filt is 0 
for 3 0 0, inp is 96 , filt is 0 
for 0 1 0, inp is 45 , filt is 0 
for 1 1 0, inp is 63 , filt is 0 
for 2 1 0, inp is 81 , filt is 0 
for 3 1 0, inp is 99 , filt is 0 
for 0 2 0, inp is 48 , filt is 0 
for 1 2 0, inp is 66 , filt is 0 
for 2 2 0, inp is 84 , filt is 0 
for 3 2 0, inp is 102 , filt is 0 
for 0 3 0, inp is 51 , filt is 0 
for 1 3 0, inp is 69 , filt is 0 
for 2 3 0, inp is 87 , filt is 0 
for 3 3 0, inp is 105 , filt is 0 
for 0 0 0, inp is 43 , filt is 0 
for 1 0 0, inp is 61 , filt is 0 
for 2 0 0, inp is 79 , filt is 0 
for 3 0 0, inp is 97 , filt is 0 
for 0 1 0, inp is 46 , filt is 0 
for 1 1 0, inp is 64 , filt is 0 
for 2 1 0, inp is 82 , filt is 0 
for 3 1 0, inp is 100 , filt is 0 
for 0 2 0, inp is 49 , filt is 0 
for 1 2 0, inp is 67 , filt is 0 
for 2 2 0, inp is 85 , filt is 0 
for 3 2 0, inp is 103 , filt is 0 
for 0 3 0, inp is 52 , filt is 0 
for 1 3 0, inp is 70 , filt is 0 
for 2 3 0, inp is 88 , filt is 0 
for 3 3 0, inp is 106 , filt is 0 
for 0 0 0, inp is 44 , filt is 0 
for 1 0 0, inp is 62 , filt is 0 
for 2 0 0, inp is 80 , filt is 0 
for 3 0 0, inp is 98 , filt is 0 
for 0 1 0, inp is 47 , filt is 0 
for 1 1 0, inp is 65 , filt is 0 
for 2 1 0, inp is 83 , filt is 0 
for 3 1 0, inp is 101 , filt is 0 
for 0 2 0, inp is 50 , filt is 0 
for 1 2 0, inp is 68 , filt is 0 
for 2 2 0, inp is 86 , filt is 0 
for 3 2 0, inp is 104 , filt is 0 
for 0 3 0, inp is 53 , filt is 0 
for 1 3 0, inp is 71 , filt is 0 
for 2 3 0, inp is 89 , filt is 0 
for 3 3 0, inp is 107 , filt is 0 
for 0 0 0, inp is 45 , filt is 0 
for 1 0 0, inp is 63 , filt is 0 
for 2 0 0, inp is 81 , filt is 0 
for 3 0 0, inp is 99 , filt is 0 
for 0 1 0, inp is 48 , filt is 0 
for 1 1 0, inp is 66 , filt is 0 
for 2 1 0, inp is 84 , filt is 0 
for 3 1 0, inp is 102 , filt is 0 
for 0 2 0, inp is 51 , filt is 0 
for 1 2 0, inp is 69 , filt is 0 
for 2 2 0, inp is 87 , filt is 0 
for 3 2 0, inp is 105 , filt is 0 
for 0 3 0, inp is 54 , filt is 0 
for 1 3 0, inp is 72 , filt is 0 
for 2 3 0, inp is 90 , filt is 0 
for 3 3 0, inp is 108 , filt is 0 
for i 0, j 0, k 0, sum -6
for i 1, j 0, k 0, sum -6
for i 2, j 0, k 0, sum -6
for i 3, j 0, k 0, sum -6
for i 0, j 1, k 0, sum -6
for i 1, j 1, k 0, sum -6
for i 2, j 1, k 0, sum -6
for i 3, j 1, k 0, sum -6
for i 0, j 2, k 0, sum -6
for i 1, j 2, k 0, sum -6
for i 2, j 2, k 0, sum -6
for i 3, j 2, k 0, sum -6
for i 0, j 3, k 0, sum -6
for i 1, j 3, k 0, sum -6
for i 2, j 3, k 0, sum -6
for i 3, j 3, k 0, sum -6
